Date,Price,Open,High,Low,Vol.,Change %
Dec 31 2019,28538.44,28414.64,28547.35,28376.49,193.34,0.0027
Dec 30 2019,28462.14,28654.76,28664.69,28428.98,185.07,-0.0064
Dec 27 2019,28645.26,28675.34,28701.66,28608.98,184.93,0.0008
Dec 26 2019,28621.39,28539.46,28624.1,28535.15,155.97,0.0037
Dec 24 2019,28515.45,28572.57,28576.8,28503.21,95.29,-0.0013
Dec 23 2019,28551.53,28491.78,28582.49,28491.78,233.47,0.0034
Dec 20 2019,28455.09,28608.64,28608.64,28445.6,603.78,0.0028
Dec 19 2019,28376.96,28278.31,28381.48,28278.24,262.57,0.0049
Dec 18 2019,28239.28,28291.44,28323.25,28239.28,289.89,-0.001
Dec 17 2019,28267.16,28221.75,28328.63,28220.56,286.77,0.0011
Dec 16 2019,28235.89,28191.67,28337.49,28191.67,286.77,0.0036
Dec 13 2019,28135.38,28123.64,28290.73,28028.32,254.81,0.0001
Dec 12 2019,28132.05,27898.34,28224.95,27859.87,277.74,0.0079
Dec 11 2019,27911.3,27867.31,27925.5,27801.8,221.70,0.0011
Dec 10 2019,27881.72,27900.65,27949.02,27804,215.81,-0.001
Dec 09 2019,27909.6,27987.05,28010.42,27906.14,219.07,-0.0038
Dec 06 2019,28015.06,27839.68,28035.85,27839.68,224.83,0.0122
Dec 05 2019,27677.79,27736.05,27745.2,27562.8,219.99,0.001
Dec 04 2019,27649.78,27634.63,27727.45,27612.08,218.20,0.0053
Dec 03 2019,27502.81,27501.98,27524.74,27325.13,275.35,-0.0101
Dec 02 2019,27783.04,28109.74,28109.84,27782.35,236.61,-0.0096
Nov 29 2019,28051.41,28103.16,28119.51,28042.53,122.62,-0.004
Nov 27 2019,28164,28156.47,28174.97,28075.23,198.21,0.0015
Nov 26 2019,28121.68,28080.75,28146.02,28042.21,329.80,0.002
Nov 25 2019,28066.47,27917.77,28068.69,27917.77,248.42,0.0068
Nov 22 2019,27875.62,27831.23,27898.46,27773.98,218.58,0.0039
Nov 21 2019,27766.29,27820.28,27828.33,27708.34,232.02,-0.002
Nov 20 2019,27821.09,27879.55,27897.28,27675.28,260.24,-0.004
Nov 19 2019,27934.02,28079.76,28090.21,27894.52,256.62,-0.0036
Nov 18 2019,28036.22,27993.22,28040.97,27969.24,252.32,0.0011
Nov 15 2019,28004.89,27843.54,28004.89,27843.54,288.91,0.008
Nov 14 2019,27781.96,27757.2,27800.71,27676.97,303.97,-0.0001
Nov 13 2019,27783.59,27622.04,27806.4,27587.2,278.39,0.0033
Nov 12 2019,27691.49,27701.59,27770.86,27635.32,213.67,0
Nov 11 2019,27691.49,27580.66,27714.39,27517.67,204.62,0.0004
Nov 08 2019,27681.24,27686.2,27694.95,27578.97,222.79,0.0002
Nov 07 2019,27674.8,27590.16,27774.67,27590.16,263.58,0.0066
Nov 06 2019,27492.56,27502.74,27526.05,27407.81,243.19,0
Nov 05 2019,27492.63,27500.23,27560.36,27453.55,293.96,0.0011
Nov 04 2019,27462.11,27402.06,27517.58,27402.06,273.03,0.0042
Nov 01 2019,27347.36,27142.95,27347.43,27142.95,272.07,0.0111
Oct 31 2019,27046.23,27188.37,27188.37,26918.29,273.83,-0.0052
Oct 30 2019,27186.69,27110.71,27204.36,26999.64,231.75,0.0043
Oct 29 2019,27071.42,27061.07,27165.94,27039.76,269.61,-0.0007
Oct 28 2019,27090.72,27040.33,27167.88,27028.71,290.77,0.0049
Oct 25 2019,26958.06,26789.61,27015.37,26765.68,274.61,0.0057
Oct 24 2019,26805.53,26893.93,26931.78,26714.34,259.64,-0.0011
Oct 23 2019,26833.95,26835.24,26896.89,26745,247.68,0.0017
Oct 22 2019,26788.1,26850.43,26946.64,26782.61,265.51,-0.0015
Oct 21 2019,26827.64,26852.67,26852.67,26747.62,241.03,0.0021
Oct 18 2019,26770.2,27004.49,27018.25,26770.13,293.61,-0.0095
Oct 17 2019,27025.88,27032.38,27112.16,26970.29,225.06,0.0009
Oct 16 2019,27001.98,26972.31,27058.34,26943.29,218.24,-0.0008
Oct 15 2019,27024.8,26811.2,27120.11,26811.2,247.48,0.0089
Oct 14 2019,26787.36,26766.43,26874.33,26749.18,178.62,-0.0011
Oct 11 2019,26816.59,26694.2,27013.97,26694.2,283.53,0.0121
Oct 10 2019,26496.67,26317.35,26603.31,26314.51,217.68,0.0057
Oct 09 2019,26346.01,26308.23,26424.31,26249.75,191.75,0.007
Oct 08 2019,26164.04,26276.59,26421.81,26139.8,251.42,-0.0119
Oct 07 2019,26478.02,26502.33,26655.84,26424.54,197.51,-0.0036
Oct 04 2019,26573.72,26271.7,26590.74,26271.7,224.49,0.0142
Oct 03 2019,26201.04,26039.02,26205.2,25743.46,249.02,0.0047
Oct 02 2019,26078.62,26425.86,26438.04,25974.12,312.73,-0.0186
Oct 01 2019,26573.04,26962.54,27046.21,26562.22,272.18,-0.0128
Sep 30 2019,26916.83,26852.33,26998.86,26852.33,228.48,0.0036
Sep 27 2019,26820.25,26987.26,27012.54,26715.82,217.78,-0.0026
Sep 26 2019,26891.12,27004.11,27015.07,26803.84,230.80,-0.003
Sep 25 2019,26970.71,26866.71,27016.56,26755.86,237.22,0.0061
Sep 24 2019,26807.77,27034.07,27079.68,26704.96,307.43,-0.0053
Sep 23 2019,26949.99,26851.45,27011.07,26831.34,214.83,0.0006
Sep 20 2019,26935.07,27102.18,27194.75,26926.68,512.57,-0.0059
Sep 19 2019,27094.79,27186.05,27272.17,27064.21,216.44,-0.0019
Sep 18 2019,27147.08,27075.39,27161.93,26899.15,212.86,0.0013
Sep 17 2019,27110.8,27010.12,27110.8,26984.14,223.58,0.0013
