Date,predicted_mean
4/5/2013,14600.898
4/8/2013,14651.605
4/9/2013,14743.874
4/10/2013,14784.098
4/11/2013,14688.55
4/12/2013,14627.183
4/15/2013,14592.554
4/16/2013,14490.614
4/17/2013,14520.4795
4/18/2013,14542.484
4/19/2013,14570.697
4/22/2013,14591.116
4/23/2013,14601.757
4/24/2013,14653.482
4/25/2013,14682.617
4/26/2013,14685.563
4/29/2013,14700.226
4/30/2013,14726.039
5/1/2013,14815.848
5/2/2013,14875.948
5/3/2013,14961.29
5/6/2013,14983.428
5/7/2013,15023.703
5/8/2013,15022.936
5/9/2013,14990.099
5/10/2013,15060.411
5/13/2013,15153.529
5/14/2013,15147.188
5/15/2013,15265.502
5/16/2013,15269.103
5/17/2013,15278.795
5/20/2013,15250.916
5/21/2013,15236.508
5/22/2013,15234.225
5/23/2013,15254.557
5/24/2013,15266.449
5/28/2013,15234.548
5/29/2013,15135.519
5/30/2013,15157.014
5/31/2013,15119.481
6/3/2013,14959.481
6/4/2013,14944.603
6/5/2013,15077.219
6/6/2013,15191.825
6/7/2013,15107.44
6/10/2013,14965.685
6/11/2013,15030.246
6/12/2013,15083.111
6/13/2013,15086.357
6/14/2013,15152.25
6/17/2013,15057.18
6/18/2013,14837.825
6/19/2013,14786.142
6/20/2013,14745.291
6/21/2013,14648.975
6/24/2013,14785.336
6/25/2013,14871.331
6/26/2013,14932.164
6/27/2013,14932.61
6/28/2013,14874.343
7/1/2013,14920.253
7/2/2013,14952.869
7/3/2013,15093.184
7/5/2013,15179.228
7/8/2013,15226.83
7/9/2013,15300.592
7/10/2013,15348.058
7/11/2013,15406.611
7/12/2013,15367.553
7/15/2013,15379.918
7/16/2013,15395.875
7/17/2013,15460.625
7/18/2013,15503.848
7/19/2013,15461.604
7/22/2013,15452.606
7/23/2013,15451.492
7/24/2013,15393.303
7/25/2013,15436.735
7/26/2013,15429.678
7/29/2013,15450.691
7/30/2013,15494.508
7/31/2013,15529.759
8/1/2013,15526.639
8/2/2013,15425.59
8/5/2013,15390.84
8/6/2013,15361.93
8/7/2013,15332.737
8/8/2013,15310.416
8/9/2013,15312.83
8/12/2013,15254.965
8/13/2013,15099.265
8/14/2013,15023.972
8/15/2013,14957.428
8/16/2013,14977.443
8/19/2013,14879.564
8/20/2013,14862.885
8/21/2013,14888.464
8/22/2013,14908.217
8/23/2013,14762.285
8/26/2013,14739.653
8/27/2013,14767.013
8/28/2013,14746.382
8/29/2013,14743.191
8/30/2013,14825.002
9/3/2013,14890.751
9/4/2013,14875.57
9/5/2013,14920.267
9/6/2013,15043.887
9/9/2013,15142.817
9/10/2013,15245.732
9/11/2013,15276.717
9/12/2013,15335.67
9/13/2013,15430.181
9/16/2013,15517.288
9/17/2013,15513.504
9/18/2013,15502.121
9/19/2013,15399.057
9/20/2013,15261.417
9/23/2013,15199.584
9/24/2013,15206.79
9/25/2013,15163.355
9/26/2013,15116.024
9/27/2013,15061.201
9/30/2013,15011.359
10/1/2013,14927.263
10/2/2013,14911.078
10/3/2013,14891.225
10/4/2013,14758.267
10/7/2013,14721.65
10/8/2013,14852.441
10/9/2013,15083.512
10/10/2013,15149.153
10/11/2013,15131.85
10/14/2013,15193.221
10/15/2013,15251.276
10/16/2013,15278.285
10/17/2013,15321.454
10/18/2013,15331.147
10/21/2013,15335.441
10/22/2013,15398.575
10/23/2013,15428.422
10/24/2013,15499.222
10/25/2013,15516.8125
10/28/2013,15529.077
10/29/2013,15510.981
10/30/2013,15512.651
10/31/2013,15486.794
11/1/2013,15504.017
11/4/2013,15549.73
11/5/2013,15582.134
11/6/2013,15627.841
11/7/2013,15663.008
11/8/2013,15615.988
11/11/2013,15648.472
11/12/2013,15742.787
11/13/2013,15800.772
11/14/2013,15862.218
11/15/2013,15896.751
11/18/2013,15848.368
11/19/2013,15852.192
11/20/2013,15913.39
11/21/2013,15972.469
11/22/2013,15942.24
11/25/2013,15980.37
11/26/2013,15961.708
11/27/2013,15890.836
11/29/2013,15849.818
12/2/2013,15787.365
12/3/2013,15771.712
12/4/2013,15838.803
12/5/2013,15883.465
12/6/2013,15859.356
12/9/2013,15799.051
12/10/2013,15702.901
12/11/2013,15657.321
12/12/2013,15700.458
12/13/2013,15783.436
12/16/2013,15933.981
12/17/2013,16023.076
12/18/2013,16110.087
12/19/2013,16206.291
12/20/2013,16209.183
12/23/2013,16283.127
12/24/2013,16320.585
12/26/2013,16333.382
12/27/2013,16368.022
12/30/2013,16351.107
12/31/2013,16364.298
1/2/2014,16319.303
1/3/2014,16365.816
1/6/2014,16359.245
1/7/2014,16341.944
1/8/2014,16319.9795
1/9/2014,16223.871
1/10/2014,16247.667
1/13/2014,16289.104
1/14/2014,16332.5205
1/15/2014,16348.59
1/16/2014,16331.52
1/17/2014,16271.308
1/21/2014,16117.338
1/22/2014,15917.985
1/23/2014,15801.728
1/24/2014,15783.425
1/27/2014,15698.749
1/28/2014,15667.601
1/29/2014,15633.806
1/30/2014,15436.644
1/31/2014,15340.488
2/3/2014,15357.626
2/4/2014,15420.1875
2/5/2014,15595.792
2/6/2014,15704.138
2/7/2014,15808.169
2/10/2014,15850.152
2/11/2014,15866.835
2/12/2014,15959.234
2/13/2014,16015.415
2/14/2014,16002.782
2/18/2014,15980.672
2/19/2014,15978.619
2/20/2014,16079.844
2/21/2014,16115.357
2/24/2014,16094.507
2/25/2014,16129.372
2/26/2014,16165.321
2/27/2014,16134.513
2/28/2014,16182.243
3/3/2014,16226.953
3/4/2014,16269.777
3/5/2014,16302.995
3/6/2014,16300.258
3/7/2014,16262.63
3/10/2014,16203.768
3/11/2014,16099.931
3/12/2014,16001.931
3/13/2014,16072.055
3/14/2014,16148.933
3/17/2014,16125.34
3/18/2014,16154.615
3/19/2014,16263.076
3/20/2014,16273.477
3/21/2014,16246.361
3/24/2014,16198.631
3/25/2014,16161.493
3/26/2014,16224.745
3/27/2014,16310.304
3/28/2014,16377.975
3/31/2014,16425.129
4/1/2014,16444.02
4/2/2014,16321.681
4/3/2014,16219.483
4/4/2014,16150.082
4/7/2014,16224.658
4/8/2014,16173.694
4/9/2014,16023.029
4/10/2014,16010.84
4/11/2014,16086.658
4/14/2014,16233.826
4/15/2014,16286.911
4/16/2014,16310.006
4/17/2014,16366.532
4/21/2014,16346.086
4/22/2014,16347.678
4/23/2014,16287.299
4/24/2014,16312.921
4/25/2014,16370.022
4/28/2014,16395.756
4/29/2014,16418.812
4/30/2014,16365.023
5/1/2014,16372.601
5/2/2014,16323.229
5/5/2014,16364.469
5/6/2014,16367.375
5/7/2014,16439.943
5/8/2014,16507.752
5/9/2014,16547.598
5/12/2014,16479.15
5/13/2014,16405.863
5/14/2014,16390.49
5/15/2014,16360.2295
5/16/2014,16318.177
5/19/2014,16328.335
5/20/2014,16390.865
5/21/2014,16441.81
5/22/2014,16497.705
5/23/2014,16514.807
5/27/2014,16550.256
5/28/2014,16551.414
5/29/2014,16608.693
5/30/2014,16599.793
6/2/2014,16585.9
6/3/2014,16668.662
6/4/2014,16753.027
6/5/2014,16796.48
6/6/2014,16760.488
6/9/2014,16717.924
6/10/2014,16627.398
6/11/2014,16612.967
6/12/2014,16632.168
6/13/2014,16660.814
6/16/2014,16726.799
6/17/2014,16754.1
6/18/2014,16834.012
6/19/2014,16869.514
6/20/2014,16725.098
6/23/2014,16712.676
6/24/2014,16703.428
6/25/2014,16698.64
6/26/2014,16738.58
6/27/2014,16794.975
6/30/2014,16812.809
7/1/2014,16886.455
7/2/2014,16853.518
7/3/2014,16812.646
7/7/2014,16806.635
7/8/2014,16810.707
7/9/2014,16797.078
7/10/2014,16859.197
7/11/2014,16915.45
7/14/2014,16957.604
7/15/2014,16926.938
7/16/2014,16919.137
7/17/2014,16939.121
7/18/2014,16936.945
7/21/2014,16945.332
7/22/2014,16932.834
7/23/2014,16883.57
7/24/2014,16817.54
